Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Duration_Minutes,Journey_Day,Journey_Month,Journey_Weekday,Dep_Hour
Multiple carriers,2019-06-24,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7h 20m,1,In-flight meal not included,10791,440,24,6,Monday,11
Jet Airways,2019-06-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 25 Jun,13h 30m,2,No info,12819,810,24,6,Monday,23
IndiGo,2019-03-21,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5h,1,No info,6893,300,21,3,Thursday,5
Vistara,2019-03-09,Banglore,New Delhi,BLR → DEL,09:50,12:35,2h 45m,0,No info,7240,165,9,3,Saturday,9
GoAir,2019-04-03,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,0,No info,3898,170,3,4,Wednesday,11
IndiGo,2019-04-03,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1h 30m,0,No info,4049,90,3,4,Wednesday,6
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,17:30,12:35 16 Jun,19h 5m,1,In-flight meal not included,10262,1145,15,6,Saturday,17
SpiceJet,2019-03-21,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,0,No check-in baggage included,3332,135,21,3,Thursday,8
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00 10 Jun,14h 50m,1,In-flight meal not included,10844,890,9,6,Sunday,21
Jet Airways,2019-03-24,Banglore,New Delhi,BLR → DEL,19:55,22:35,2h 40m,0,No info,7229,160,24,3,Sunday,19
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40 07 May,22h 10m,1,No info,13941,1330,6,5,Monday,6
IndiGo,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9h 35m,1,No info,5894,575,27,6,Thursday,11
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1,No info,10197,600,18,5,Saturday,9
Jet Airways,2019-03-06,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25 07 Mar,21h 20m,1,In-flight meal not included,13712,1280,6,3,Wednesday,14
IndiGo,2019-06-24,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1,No info,5636,325,24,6,Monday,2
Jet Airways,2019-06-06,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 07 Jun,18h 45m,2,No info,13014,1125,6,6,Thursday,9
Jet Airways,2019-04-01,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,In-flight meal not included,7064,740,1,4,Monday,8
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 25 May,18h,1,In-flight meal not included,10703,1080,24,5,Friday,20
Multiple carriers,2019-05-27,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9h 15m,1,No info,9646,555,27,5,Monday,13
Multiple carriers,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11h 5m,1,No info,17057,665,6,3,Wednesday,2
Jet Airways,2019-03-12,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 13 Mar,17h 30m,1,No info,13817,1050,12,3,Tuesday,16
Air India,2019-03-06,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13h 20m,2,No info,13748,800,6,3,Wednesday,5
Air India,2019-04-21,Kolkata,Banglore,CCU → BLR,20:45,23:20,2h 35m,0,No info,4880,155,21,4,Sunday,20
IndiGo,2019-06-21,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,0,No info,3540,145,21,6,Friday,5
SpiceJet,2019-05-15,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,No check-in baggage included,3257,160,15,5,Wednesday,5
Jet Airways,2019-06-03,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,0,In-flight meal not included,6478,180,3,6,Monday,19
Jet Airways,2019-06-18,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,0,No info,8040,85,18,6,Tuesday,7
Jet Airways,2019-06-12,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 13 Jun,16h 35m,2,No info,14300,995,12,6,Wednesday,20
Jet Airways,2019-05-15,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,No info,14781,740,15,5,Wednesday,8
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 10 Jun,12h 15m,1,No info,14939,735,9,6,Sunday,20
Jet Airways,2019-06-24,Delhi,Cochin,DEL → BOM → COK,20:55,04:25 25 Jun,7h 30m,1,In-flight meal not included,10262,450,24,6,Monday,20
Air India,2019-05-12,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 May,24h,1,No info,6528,1440,12,5,Sunday,14
Air India,2019-05-01,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,0,No info,6121,165,1,5,Wednesday,6
Jet Airways,2019-05-18,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 19 May,8h 55m,2,In-flight meal not included,13029,535,18,5,Saturday,19
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7h 10m,1,No info,11421,430,27,3,Wednesday,11
Multiple carriers,2019-03-27,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1,No info,7574,870,27,3,Wednesday,4
Air India,2019-05-09,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 May,30h 20m,2,No info,11596,1820,9,5,Thursday,12
Jet Airways,2019-05-24,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 25 May,19h 55m,2,No info,15129,1195,24,5,Friday,23
Jet Airways,2019-03-18,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 16 Mar,15h,1,No info,13555,900,18,3,Monday,14
IndiGo,2019-04-12,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,0,No info,5780,175,12,4,Friday,18
Vistara,2019-05-12,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05 13 May,12h 45m,1,No info,9397,765,12,5,Sunday,20
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,18:15,04:25 07 Mar,10h 10m,1,No info,17024,610,6,3,Wednesday,18
GoAir,2019-06-27,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5h 55m,1,No info,5281,355,27,6,Thursday,7
Multiple carriers,2019-05-18,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15h 25m,1,No info,10348,925,18,5,Saturday,7
Air India,2019-03-06,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 07 Mar,16h 5m,1,No info,12677,965,6,3,Wednesday,17
Multiple carriers,2019-03-03,Delhi,Cochin,DEL → BOM → COK,15:25,01:35 04 Mar,10h 10m,1,No info,15147,610,3,3,Sunday,15
Vistara,2019-06-12,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,0,No info,4668,160,12,6,Wednesday,7
Jet Airways,2019-05-09,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11h 55m,1,No info,15554,715,9,5,Thursday,7
SpiceJet,2019-04-09,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,No info,3971,160,9,4,Tuesday,5
Air India,2019-05-03,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1h 25m,0,No info,3100,85,3,5,Friday,15
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05 07 May,14h 5m,1,In-flight meal not included,9663,845,6,5,Monday,20
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,05:15,07:40,2h 25m,0,No info,3540,145,12,5,Sunday,5
Air India,2019-05-21,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10 22 May,23h 10m,2,No info,10676,1390,21,5,Tuesday,12
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15 13 Jun,18h 10m,1,No info,13044,1090,12,6,Wednesday,14
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1,No info,14388,960,6,5,Monday,20
IndiGo,2019-06-24,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,0,No info,3943,170,24,6,Monday,4
IndiGo,2019-06-03,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,0,No info,3597,140,3,6,Monday,14
Air India,2019-03-21,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8h,1,No info,5932,480,21,3,Thursday,11
Jet Airways,2019-06-15,Delhi,Cochin,DEL → BOM → COK,11:30,04:25 16 Jun,16h 55m,1,In-flight meal not included,10262,1015,15,6,Saturday,11
Vistara,2019-05-12,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,0,No info,6216,190,12,5,Sunday,14
IndiGo,2019-06-15,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,0,No info,4804,165,15,6,Saturday,20
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,11:30,01:30 22 May,14h,1,No info,14067,840,21,5,Tuesday,11
Jet Airways,2019-05-18,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 19 May,23h 50m,2,No info,15129,1430,18,5,Saturday,19
Jet Airways,2019-06-06,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25 07 Jun,21h 40m,2,No info,13376,1300,6,6,Thursday,6
Air India,2019-06-27,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 28 Jun,21h 15m,2,No info,10441,1275,27,6,Thursday,22
Jet Airways,2019-05-24,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,0,In-flight meal not included,4030,165,24,5,Friday,6
Jet Airways,2019-03-03,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10h 50m,1,No info,17024,650,3,3,Sunday,8
Multiple carriers,2019-04-09,Delhi,Cochin,DEL → BOM → COK,17:30,01:30 10 Apr,8h,1,No info,13017,480,9,4,Tuesday,17
GoAir,2019-06-06,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45 07 Jun,8h 15m,1,No info,6686,495,6,6,Thursday,23
IndiGo,2019-06-15,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1,No info,5636,325,15,6,Saturday,2
IndiGo,2019-06-09,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1,No info,6442,515,9,6,Sunday,7
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → HYD → COK,13:05,00:55 22 May,11h 50m,1,No info,9486,710,21,5,Tuesday,13
Jet Airways,2019-05-21,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35 22 May,27h 35m,1,In-flight meal not included,10844,1655,21,5,Tuesday,20
Jet Airways,2019-06-03,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25 04 Jun,8h 25m,2,In-flight meal not included,15318,505,3,6,Monday,20
Air India,2019-04-03,Delhi,Cochin,DEL → MAA → COK,12:30,09:25 04 Apr,20h 55m,1,No info,5117,1255,3,4,Wednesday,12
IndiGo,2019-06-24,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1,No info,6147,290,24,6,Monday,15
Multiple carriers,2019-06-09,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1,No info,7005,490,9,6,Sunday,12
SpiceJet,2019-04-03,Kolkata,Banglore,CCU → BLR,22:20,00:40 04 Apr,2h 20m,0,No info,3873,140,3,4,Wednesday,22
Jet Airways,2019-03-21,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50 22 Mar,24h 25m,2,In-flight meal not included,9270,1465,21,3,Thursday,18
GoAir,2019-06-27,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,0,No info,3898,170,27,6,Thursday,11
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12h 20m,1,No info,14781,740,12,5,Sunday,8
Jet Airways,2019-05-24,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 25 May,12h 15m,1,In-flight meal not included,8586,735,24,5,Friday,20
Air India,2019-05-09,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55 10 May,23h 35m,2,No info,10697,1415,9,5,Thursday,8
Jet Airways,2019-06-27,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35 28 Jun,16h 35m,2,No info,14300,995,27,6,Thursday,20
IndiGo,2019-03-03,Banglore,New Delhi,BLR → DEL,18:55,21:45,2h 50m,0,No info,8855,170,3,3,Sunday,18
Jet Airways,2019-05-12,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 13 May,25h 45m,1,In-flight meal not included,10844,1545,12,5,Sunday,16
Jet Airways,2019-03-06,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 07 Mar,26h 10m,1,No info,17024,1570,6,3,Wednesday,2
Jet Airways,2019-05-01,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1,In-flight meal not included,9314,1730,1,5,Wednesday,9
IndiGo,2019-03-24,Banglore,New Delhi,BLR → DEL,00:40,03:25,2h 45m,0,No info,4777,165,24,3,Sunday,0
Air India,2019-06-09,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15 10 Jun,25h 15m,1,No info,7662,1515,9,6,Sunday,12
IndiGo,2019-05-09,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1,No info,6442,560,9,5,Thursday,6
SpiceJet,2019-06-12,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,5264,270,12,6,Wednesday,8
Jet Airways,2019-05-27,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 28 May,15h 25m,1,In-flight meal not included,12898,925,27,5,Monday,13
Air India,2019-03-03,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1h 30m,0,No info,6092,90,3,3,Sunday,13
SpiceJet,2019-05-21,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,0,No info,3311,160,21,5,Tuesday,5
Jet Airways,2019-03-27,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 28 Mar,9h 10m,1,In-flight meal not included,6540,550,27,3,Wednesday,19
IndiGo,2019-05-27,Banglore,Delhi,BLR → DEL,01:30,04:15,2h 45m,0,No info,3419,165,27,5,Monday,1
Jet Airways,2019-04-03,Delhi,Cochin,DEL → BOM → COK,14:00,12:35 04 Apr,22h 35m,1,In-flight meal not included,5177,1355,3,4,Wednesday,14
Air India,2019-04-18,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,0,No info,8246,185,18,4,Thursday,18
Jet Airways,2019-06-09,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11h 30m,1,No info,14676,690,9,6,Sunday,9
Multiple carriers,2019-06-27,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1,No info,13587,570,27,6,Thursday,11
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20 07 May,12h 10m,1,In-flight meal not included,9663,730,6,5,Monday,21
Jet Airways,2019-06-12,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 13 Jun,17h 35m,1,No info,13044,1055,12,6,Wednesday,16
IndiGo,2019-04-03,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 04 Apr,5h 5m,1,No info,5073,305,3,4,Wednesday,20
Vistara,2019-05-21,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50 22 May,25h 50m,1,No info,9345,1550,21,5,Tuesday,17
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05 07 May,20h,1,In-flight meal not included,9663,1200,6,5,Monday,14
Multiple carriers,2019-05-21,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1,No info,14277,780,21,5,Tuesday,8
Jet Airways,2019-06-01,Delhi,Cochin,DEL → BOM → COK,10:00,04:25 02 Jun,18h 25m,1,In-flight meal not included,10262,1105,1,6,Saturday,10
Jet Airways,2019-03-27,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,0,No info,5678,90,27,3,Wednesday,19
Multiple carriers,2019-05-15,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 16 May,9h 30m,1,No info,13727,570,15,5,Wednesday,16
Jet Airways,2019-05-06,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 07 May,16h,1,In-flight meal not included,9663,960,6,5,Monday,20
IndiGo,2019-05-12,Chennai,Kolkata,MAA → CCU,14:45,17:05,2h 20m,0,No info,3858,140,12,5,Sunday,14
SpiceJet,2019-06-24,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1,No info,4812,270,24,6,Monday,8
IndiGo,2019-06-27,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 28 Jun,5h 45m,1,No info,5775,345,27,6,Thursday,21
Jet Airways,2019-06-06,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 07 Jun,24h 10m,1,In-flight meal not included,10539,1450,6,6,Thursday,9
IndiGo,2019-06-03,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,0,No info,4804,155,3,6,Monday,15
